B1;TLB;Instruction TLB: 2-MB pages, 4-way, 8 entries or 4M pages, 4-way, 4 entries
B2;TLB;Instruction TLB: 4-KB pages, 4-way set associative, 64 entries
B3;TLB;Data TLB: 4-KB Pages, 4-way set associative, 128 entries
B4;TLB;Data TLB: 4-KB Pages, 4-way set associative, 256 entries
BA;TLB;Data TLB: 4-KB Pages, 4-way set associative, 64 entries
C0;TLB;Data TLB: 4-KB or 4-MB Pages, 4-way set associative, 8 entries
CA;STLB;Shared 2nd-level TLB: 4 KB pages, 4-way set associative, 512 entries
D0;CACHE;3rd-level cache: 512-kB, 4-way set associative, 64-byte line size
D1;CACHE;3rd-level cache: 1-MB, 4-way set associative, 64-byte line size
D2;CACHE;3rd-level cache: 2-MB, 4-way set associative, 64-byte line size
D6;CACHE;3rd-level cache: 1-MB, 8-way set associative, 64-byte line size
D7;CACHE;3rd-level cache: 2-MB, 8-way set associative, 64-byte line size
D8;CACHE;3rd-level cache: 4-MB, 8-way set associative, 64-byte line size
DC;CACHE;3rd-level cache: 1.5-MB, 12-way set associative, 64-byte line size
DD;CACHE;3rd-level cache: 3-MB, 12-way set associative, 64-byte line size
DE;CACHE;3rd-level cache: 6-MB, 12-way set associative, 64-byte line size
E2;CACHE;3rd-level cache: 2-MB, 16-way set associative, 64-byte line size
E3;CACHE;3rd-level cache: 4-MB, 16-way set associative, 64-byte line size
E4;CACHE;3rd-level cache: 8-MB, 16-way set associative, 64-byte line size
EA;CACHE;3rd-level cache: 12-MB, 24-way set associative, 64-byte line size
EB;CACHE;3rd-level cache: 18-MB, 24-way set associative, 64-byte line size
EC;CACHE;3rd-level cache: 24-MB, 24-way set associative, 64-byte line size
F0;PREFETCH;64-byte Prefetching
F1;PREFETCH;128-byte Prefetching
FF;GENERAL;CPUID Leaf 2 does not report cache descriptor information, use CPUID Leaf 4 to query cache parameters
